id,cn_name,en_name,cover,categories,region,duration,release_date,score
64,勇敢的心,Braveheart,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c,剧情、动作、传记、历史、战争,美国,177 分钟,1995-05-18,8.9
65,三傻大闹宝莱坞,3 Idiots,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c,剧情、喜剧、爱情、歌舞,印度,171 分钟,2011-12-08,8.9
66,闻香识女人,Scent of a Woman,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c,剧情,美国,157 分钟,1992-12-23,8.9
67,末代皇帝,The Last Emperor,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c,剧情、传记、历史,英国、意大利、中国大陆、法国、美国,163 分钟,1987-10-23,8.9
68,风之谷,風の谷のナウシカ,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c,动画、奇幻、冒险,日本,117 分钟,,8.9
69,大话西游之月光宝盒,A Chinese Odyssey,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c,喜剧、爱情、奇幻、古装,中国香港、中国大陆,87 分钟,2014-10-24,8.9
70,放牛班的春天,Les choristes,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c,剧情、音乐,法国、德国、瑞士,97 分钟,2004-10-16,8.9
71,当幸福来敲门,The Pursuit of Happyness,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,剧情、家庭、传记,美国,117 分钟,2008-01-17,8.9
72,幽灵公主,もののけ姫,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c,动画、奇幻、冒险,日本,134 分钟,1998-05-01,8.9
73,十二怒汉,12 Angry Men,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,剧情,美国,96 分钟,1957-04-13,8.9
74,搏击俱乐部,Fight Club,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c,剧情、动作、悬疑、惊悚,美国、德国,139 分钟,1999-09-10,8.9
75,疯狂原始人,The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,喜剧、动画、冒险,美国,98 分钟,2013-04-20,8.9
